{'HIDDEN_DIM': 512, 'sliced_time': 0.07483635807037353, 'unsliced_time': 0.07219365739822388, 'ratio': 1.0366057181113901}
{'HIDDEN_DIM': 768, 'sliced_time': 0.10544153022766113, 'unsliced_time': 0.10030773735046386, 'ratio': 1.0511804274804881}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.12156237077713013, 'unsliced_time': 0.10031404495239257, 'ratio': 1.2118180543394663}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.11663769721984864, 'unsliced_time': 0.1107338514328003, 'ratio': 1.0533156366427943}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.11459772396087646, 'unsliced_time': 0.1273131151199341, 'ratio': 0.9001250488052294}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.11238045740127564, 'unsliced_time': 0.12832457447052, 'ratio': 0.8757516466738239}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.11747716951370239, 'unsliced_time': 0.12802073192596436, 'ratio': 0.917641758068065}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.1301059308052063, 'unsliced_time': 0.14779134273529052, 'ratio': 0.8803352645509107}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.14939692735671997, 'unsliced_time': 0.19191652727127073, 'ratio': 0.7784474296241822}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.17468618631362914, 'unsliced_time': 0.2102109923362732, 'ratio': 0.8310040515587537}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.21765535116195678, 'unsliced_time': 0.3194251503944397, 'ratio': 0.6813970374379936}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.2755772562026978, 'unsliced_time': 0.4513780245780945, 'ratio': 0.6105243082232046}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.3466160578727722, 'unsliced_time': 0.6267701468467712, 'ratio': 0.5530194116879512}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.4990281662940979, 'unsliced_time': 1.027750716686249, 'ratio': 0.4855537030449388}
