{'HIDDEN_DIM': 512, 'sliced_time': 0.07408753538131714, 'unsliced_time': 0.07293606519699097, 'ratio': 1.0157873910693729}
{'HIDDEN_DIM': 768, 'sliced_time': 0.09861342144012451, 'unsliced_time': 0.09993185758590697, 'ratio': 0.9868066482738094}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.1283855972290039, 'unsliced_time': 0.10385681104660034, 'ratio': 1.236178888367731}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.11874770927429198, 'unsliced_time': 0.11783841848373414, 'ratio': 1.007716420521066}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.1195339183807373, 'unsliced_time': 0.13004395675659178, 'ratio': 0.919180878235453}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.11982564640045165, 'unsliced_time': 0.12492844486236573, 'ratio': 0.9591542305074248}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.12929883909225465, 'unsliced_time': 0.12917795181274414, 'ratio': 1.0009358197572737}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.13751633596420287, 'unsliced_time': 0.1467526135444641, 'ratio': 0.9370622617398038}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.16431769514083863, 'unsliced_time': 0.1908256106376648, 'ratio': 0.8610882710751087}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.18683726167678832, 'unsliced_time': 0.21326148509979248, 'ratio': 0.876094722820488}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.2604918327331543, 'unsliced_time': 0.32277870416641236, 'ratio': 0.8070291793440458}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.33350040912628176, 'unsliced_time': 0.45154187202453616, 'ratio': 0.738581358204937}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.4337578339576721, 'unsliced_time': 0.6264669318199159, 'ratio': 0.6923874380688941}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.685014169216156, 'unsliced_time': 1.0146342930793764, 'ratio': 0.6751340595212528}
