{'HIDDEN_DIM': 512, 'sliced_time': 0.019089441299438476, 'unsliced_time': 0.017927287101745605, 'ratio': 1.0648259935313755}
{'HIDDEN_DIM': 768, 'sliced_time': 0.02574456214904785, 'unsliced_time': 0.02259534740447998, 'ratio': 1.1393744777716264}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.030595566749572752, 'unsliced_time': 0.03373461151123047, 'ratio': 0.9069488391584793}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.04272360324859619, 'unsliced_time': 0.04883169555664063, 'ratio': 0.8749154163414299}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.05026640224456787, 'unsliced_time': 0.056731281280517576, 'ratio': 0.8860438387777106}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.06723809337615966, 'unsliced_time': 0.06378718852996826, 'ratio': 1.0541002813530511}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.07746117877960204, 'unsliced_time': 0.08908541011810303, 'ratio': 0.8695158800628473}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.11469793796539307, 'unsliced_time': 0.11103051280975341, 'ratio': 1.0330307864282646}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.14279403972625732, 'unsliced_time': 0.1731241683959961, 'ratio': 0.8248070795039831}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.17894132137298585, 'unsliced_time': 0.21147297763824463, 'ratio': 0.8461663677857276}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.2618245611190796, 'unsliced_time': 0.3312904529571533, 'ratio': 0.790317254185837}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.3495521230697632, 'unsliced_time': 0.4545276927947998, 'ratio': 0.7690447218307803}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.43044906520843507, 'unsliced_time': 0.6095867834091186, 'ratio': 0.7061325424431701}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.6429546117782593, 'unsliced_time': 1.0047255697250366, 'ratio': 0.6399305752258468}
