{'HIDDEN_DIM': 512, 'sliced_time': 0.0019109153509140014, 'unsliced_time': 0.0017687179386615753, 'ratio': 1.0803957539776126}
{'HIDDEN_DIM': 768, 'sliced_time': 0.0018879988431930543, 'unsliced_time': 0.002079611521959305, 'ratio': 0.9078613112386861}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.0018816010951995849, 'unsliced_time': 0.0017734036624431609, 'ratio': 1.0610111702416154}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.0018785049676895143, 'unsliced_time': 0.0017875726819038392, 'ratio': 1.0508691404306025}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.0018506445586681365, 'unsliced_time': 0.001821685290336609, 'ratio': 1.015896965565428}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.0018608514845371246, 'unsliced_time': 0.0018128746271133423, 'ratio': 1.026464520329338}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.0018784417510032654, 'unsliced_time': 0.0017751648902893066, 'ratio': 1.058178742312286}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.002175955927371979, 'unsliced_time': 0.0018008202016353606, 'ratio': 1.2083138146695322}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.0019082534670829773, 'unsliced_time': 0.0018193090856075287, 'ratio': 1.0488890987128485}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.0019009745001792907, 'unsliced_time': 0.0018431280851364136, 'ratio': 1.0313849132403599}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.0018806229293346405, 'unsliced_time': 0.002268045920133591, 'ratio': 0.8291820340321281}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.0019534401714801784, 'unsliced_time': 0.0027599948287010193, 'ratio': 0.7077695041912659}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.0019025709748268127, 'unsliced_time': 0.0037667516231536867, 'ratio': 0.5050959461016701}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.001926119351387024, 'unsliced_time': 0.006579982739686966, 'ratio': 0.29272407354045077}
