{'HIDDEN_DIM': 2600, 'sliced_time': 0.001877929323911667, 'unsliced_time': 0.001850160962343216, 'ratio': 1.015008619322117}
{'HIDDEN_DIM': 3100, 'sliced_time': 0.0018644647240638732, 'unsliced_time': 0.0019043604850769041, 'ratio': 0.9790503104188177}
{'HIDDEN_DIM': 3600, 'sliced_time': 0.0022138950705528257, 'unsliced_time': 0.0018748100697994234, 'ratio': 1.180863654519244}
{'HIDDEN_DIM': 4100, 'sliced_time': 0.0018735590755939483, 'unsliced_time': 0.0022134166419506074, 'ratio': 0.8464556740401327}
{'HIDDEN_DIM': 4600, 'sliced_time': 0.0018808444857597352, 'unsliced_time': 0.0019089695692062379, 'ratio': 0.9852668770104087}
{'HIDDEN_DIM': 5100, 'sliced_time': 0.0018601427733898163, 'unsliced_time': 0.0019176270186901092, 'ratio': 0.9700232397958394}
{'HIDDEN_DIM': 5600, 'sliced_time': 0.001883358460664749, 'unsliced_time': 0.0018758036911487581, 'ratio': 1.004027484086762}
{'HIDDEN_DIM': 6100, 'sliced_time': 0.0019260401785373689, 'unsliced_time': 0.002162612724304199, 'ratio': 0.8906079932351525}
{'HIDDEN_DIM': 6600, 'sliced_time': 0.001901967191696167, 'unsliced_time': 0.001910025691986084, 'ratio': 0.9957809466523262}
{'HIDDEN_DIM': 7100, 'sliced_time': 0.0019044807493686677, 'unsliced_time': 0.002579743933677673, 'ratio': 0.7382441041943443}
{'HIDDEN_DIM': 7600, 'sliced_time': 0.0022096403539180755, 'unsliced_time': 0.002223463410139084, 'ratio': 0.9937830970557129}
{'HIDDEN_DIM': 8100, 'sliced_time': 0.0018930765569210052, 'unsliced_time': 0.002770469915866852, 'ratio': 0.6833052205617185}
{'HIDDEN_DIM': 8600, 'sliced_time': 0.00187032704949379, 'unsliced_time': 0.002262792629003525, 'ratio': 0.826556983402157}
{'HIDDEN_DIM': 9100, 'sliced_time': 0.0019082131266593932, 'unsliced_time': 0.003799847984313965, 'ratio': 0.5021814384513877}
{'HIDDEN_DIM': 9600, 'sliced_time': 0.0021921355664730074, 'unsliced_time': 0.0026077178776264193, 'ratio': 0.8406337147438354}
{'HIDDEN_DIM': 10100, 'sliced_time': 0.001893352174758911, 'unsliced_time': 0.004510298246145248, 'ratio': 0.41978425182349643}
{'HIDDEN_DIM': 10600, 'sliced_time': 0.0021994820058345793, 'unsliced_time': 0.0030609091818332673, 'ratio': 0.7185714685325115}
{'HIDDEN_DIM': 11100, 'sliced_time': 0.0018907541573047637, 'unsliced_time': 0.005290824735164642, 'ratio': 0.3573647308212954}
{'HIDDEN_DIM': 11600, 'sliced_time': 0.0018910735666751862, 'unsliced_time': 0.00375659590959549, 'ratio': 0.5034008480509731}
{'HIDDEN_DIM': 12100, 'sliced_time': 0.0019189042508602143, 'unsliced_time': 0.006225198501348495, 'ratio': 0.30824788164498584}
{'HIDDEN_DIM': 12600, 'sliced_time': 0.0018913203120231629, 'unsliced_time': 0.0041294326484203345, 'ratio': 0.45800972507607435}
{'HIDDEN_DIM': 13100, 'sliced_time': 0.0019180627584457397, 'unsliced_time': 0.007134665614366532, 'ratio': 0.2688370923205543}
{'HIDDEN_DIM': 13600, 'sliced_time': 0.0019171829521656037, 'unsliced_time': 0.004989748162031174, 'ratio': 0.3842243916745444}
{'HIDDEN_DIM': 14100, 'sliced_time': 0.0019155360698699952, 'unsliced_time': 0.008344961643218993, 'ratio': 0.2295440233001592}
{'HIDDEN_DIM': 14600, 'sliced_time': 0.001905854707956314, 'unsliced_time': 0.00534937299489975, 'ratio': 0.35627627943936835}
{'HIDDEN_DIM': 15100, 'sliced_time': 0.0019291391730308534, 'unsliced_time': 0.009646303308010102, 'ratio': 0.19998740568616932}
{'HIDDEN_DIM': 15600, 'sliced_time': 0.00220830848813057, 'unsliced_time': 0.006243992215394974, 'ratio': 0.3536693211573582}
{'HIDDEN_DIM': 16100, 'sliced_time': 0.0021108545839786533, 'unsliced_time': 0.010983566063642501, 'ratio': 0.19218299154825008}
{'HIDDEN_DIM': 200, 'sliced_time': 0.0018395915806293489, 'unsliced_time': 0.0018365718245506287, 'ratio': 1.0016442352203998}
{'HIDDEN_DIM': 700, 'sliced_time': 0.001847534281015396, 'unsliced_time': 0.0018739281952381134, 'ratio': 0.9859151944616726}
{'HIDDEN_DIM': 1200, 'sliced_time': 0.0018822127759456635, 'unsliced_time': 0.00188613361120224, 'ratio': 0.9979212314370044}
{'HIDDEN_DIM': 1700, 'sliced_time': 0.001844256019592285, 'unsliced_time': 0.0018961757123470307, 'ratio': 0.9726187333712439}
{'HIDDEN_DIM': 2200, 'sliced_time': 0.0018811465084552764, 'unsliced_time': 0.0018816940605640411, 'ratio': 0.999709011087275}
{'HIDDEN_DIM': 2700, 'sliced_time': 0.0018902556717395782, 'unsliced_time': 0.0018963847696781158, 'ratio': 0.9967680093003606}
{'HIDDEN_DIM': 3200, 'sliced_time': 0.001862672108411789, 'unsliced_time': 0.0018763273060321808, 'ratio': 0.9927223797380703}
{'HIDDEN_DIM': 3700, 'sliced_time': 0.002163445383310318, 'unsliced_time': 0.001882556438446045, 'ratio': 1.1492061215950224}
{'HIDDEN_DIM': 4200, 'sliced_time': 0.0018941548109054564, 'unsliced_time': 0.0018809871435165404, 'ratio': 1.007000402652566}
