{'HIDDEN_DIM': 512, 'sliced_time': 0.0018816605985164643, 'unsliced_time': 0.0017964744031429291, 'ratio': 1.0474185411295045}
{'HIDDEN_DIM': 768, 'sliced_time': 0.0022083028972148893, 'unsliced_time': 0.001796245515346527, 'ratio': 1.2293992543602088}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.0018614723265171049, 'unsliced_time': 0.0017705548524856569, 'ratio': 1.0513497076375862}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.0018836388528347015, 'unsliced_time': 0.0020636298179626464, 'ratio': 0.9127794318723094}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.0021589155554771425, 'unsliced_time': 0.0017690506756305694, 'ratio': 1.220380843362561}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.0018814147174358365, 'unsliced_time': 0.0017856412410736085, 'ratio': 1.0536353407163943}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.001863340276479721, 'unsliced_time': 0.0017798453450202942, 'ratio': 1.0469113407482462}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.0018861266911029816, 'unsliced_time': 0.0017862146317958831, 'ratio': 1.0559350805488843}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.0019003762483596803, 'unsliced_time': 0.001843141806125641, 'ratio': 1.0310526526194685}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.0019112744510173798, 'unsliced_time': 0.0017781589090824128, 'ratio': 1.0748614430662211}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.0018943244040012359, 'unsliced_time': 0.002018164348602295, 'ratio': 0.9386373341265165}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.0019009586393833162, 'unsliced_time': 0.002951541429758072, 'ratio': 0.6440562277789648}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.0019470273613929748, 'unsliced_time': 0.003787092709541321, 'ratio': 0.5141219163944871}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.0030610145926475525, 'unsliced_time': 0.006558017987012863, 'ratio': 0.4667591029346697}
