{'HIDDEN_DIM': 512, 'sliced_time': 0.001792453008890152, 'unsliced_time': 0.0020096156001091006, 'ratio': 0.8919382437083195}
{'HIDDEN_DIM': 768, 'sliced_time': 0.0017689857840538026, 'unsliced_time': 0.0017113116681575775, 'ratio': 1.033701702015693}
{'HIDDEN_DIM': 1024, 'sliced_time': 0.0017768441021442413, 'unsliced_time': 0.0016838538050651549, 'ratio': 1.0552246856581995}
{'HIDDEN_DIM': 1536, 'sliced_time': 0.0018163468837738036, 'unsliced_time': 0.001982083809375763, 'ratio': 0.9163824835165993}
{'HIDDEN_DIM': 2048, 'sliced_time': 0.0018028272509574888, 'unsliced_time': 0.0020045123398303986, 'ratio': 0.899384461314928}
{'HIDDEN_DIM': 2560, 'sliced_time': 0.0017931185424327851, 'unsliced_time': 0.0016903474509716034, 'ratio': 1.0607987969586428}
{'HIDDEN_DIM': 3072, 'sliced_time': 0.0018066827654838562, 'unsliced_time': 0.0017113352119922638, 'ratio': 1.0557152992724277}
{'HIDDEN_DIM': 4096, 'sliced_time': 0.001793038845062256, 'unsliced_time': 0.002033679699897766, 'ratio': 0.8816721950621785}
{'HIDDEN_DIM': 5140, 'sliced_time': 0.0018054376184940338, 'unsliced_time': 0.0025137228429317473, 'ratio': 0.7182325702973512}
{'HIDDEN_DIM': 6144, 'sliced_time': 0.0017974414825439454, 'unsliced_time': 0.0023841936767101286, 'ratio': 0.7538991064787054}
{'HIDDEN_DIM': 8192, 'sliced_time': 0.0018724356472492217, 'unsliced_time': 0.0032255537688732146, 'ratio': 0.580500522210585}
{'HIDDEN_DIM': 10240, 'sliced_time': 0.002151704978942871, 'unsliced_time': 0.004246674305200577, 'ratio': 0.5066800098862874}
{'HIDDEN_DIM': 12288, 'sliced_time': 0.002475286728143692, 'unsliced_time': 0.005556993740797043, 'ratio': 0.44543629948171587}
{'HIDDEN_DIM': 16384, 'sliced_time': 0.003359882432222366, 'unsliced_time': 0.008927108615636826, 'ratio': 0.37636849475956385}
